kenteken;voertuigsoort;merk;handelsbenaming;vervaldatum_apk;datum_tenaamstelling;inrichting;aantal_zitplaatsen;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;toegestane_maximum_massa_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;catalogusprijs;wam_verzekerd;aantal_deuren;aantal_wielen;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;europese_voertuigcategorie;plaats_chassisnummer;technische_max_massa_voertuig;type;typegoedkeuringsnummer;variant;uitvoering;volgnummer_wijziging_eu_typegoedkeuring;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;maximum_massa_samenstelling;aantal_rolstoelplaatsen;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;vervaldatum_apk_dt;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;maximum_massa_trekken_ongeremd;maximum_trekken_massa_geremd;maximale_constructiesnelheid;maximum_ondersteunende_snelheid;hoogte_voertuig;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt
00SZN7;Personenauto;TESLA;ROADSTER;20230803;20210218;cabriolet;2;ZWART;Niet geregistreerd;0;1235;1460;1335;20120103;20120103;Geen verstrekking in Open Data;115074;Ja;2;4;0;0;395;0;M1;r. balk v. vooras;1460;001;e4*KS07/46*0001*03;A;01 ROADSTER;1;0.03;235;Nee;Nee;Nee;0;0;2022;Onlogisch;04;Ja;2023-08-03T00:00:00.000;2021-02-18T00:00:00.000;2012-01-03T00:00:00.000;2012-01-03T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
01KBK1;Personenauto;TESLA;ROADSTER;20230818;20091002;cabriolet;2;ROOD;Niet geregistreerd;0;1235;1460;1335;20091002;20091002;Geen verstrekking in Open Data;;Ja;2;4;0;0;394;0;M1;r. balk v. vooras;1460;001;e4*KS07/46*0001*00;N/A;N/A;0;0.03;235;Nee;Nee;Nee;0;0;2022;Logisch;00;Ja;2023-08-18T00:00:00.000;2009-10-02T00:00:00.000;2009-10-02T00:00:00.000;2009-10-02T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
01NZX1;Personenauto;TESLA;TESLA ROADSTER;20210830;20221005;cabriolet;2;ZWART;Niet geregistreerd;0;1335;1460;1435;20110103;20110103;Geen verstrekking in Open Data;135927;Nee;2;4;;;;;M1;tegen r. balk v. vooras;1460;;;;;;0.03;235;Nee;Nee;Nee;;;2020;Logisch;00;Ja;2021-08-30T00:00:00.000;2022-10-05T00:00:00.000;2011-01-03T00:00:00.000;2011-01-03T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
04PXS6;Personenauto;TESLA;ROADSTER;20240214;20221231;cabriolet;2;GRIJS;Niet geregistreerd;0;1235;1460;1335;20110411;20110411;Geen verstrekking in Open Data;120428;Ja;2;4;0;0;395;0;M1;r. balk v. vooras;1460;001;e4*KS07/46*0001*03;A;01 ROADSTER;1;0.03;235;Nee;Nee;Nee;0;0;2023;Logisch;00;Ja;2024-02-14T00:00:00.000;2022-12-31T00:00:00.000;2011-04-11T00:00:00.000;2011-04-11T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
04ZKK4;Personenauto;TESLA;ROADSTER;20231212;20121212;cabriolet;2;WIT;Niet geregistreerd;;1235;1460;1335;20121212;20121212;Geen verstrekking in Open Data;112375;Ja;2;4;0;0;395;0;M1;r. balk v. vooras;1460;001;e4*KS07/46*0001*04;A;01 ROADSTER;0;0.03;235;Nee;Nee;Nee;0;0;2022;Logisch;00;Ja;2023-12-12T00:00:00.000;2012-12-12T00:00:00.000;2012-12-12T00:00:00.000;2012-12-12T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
05NVF5;Personenauto;TESLA;TESLA ROADSTER;20240103;20110103;cabriolet;2;ROOD;Niet geregistreerd;0;1235;1460;1335;20110103;20110103;Geen verstrekking in Open Data;99960;Ja;2;4;;;;;M1;r. balk by vooras;1460;;;;;;0.03;235;Nee;Nee;Nee;;;2022;Logisch;00;Ja;2024-01-03T00:00:00.000;2011-01-03T00:00:00.000;2011-01-03T00:00:00.000;2011-01-03T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
06PXS3;Personenauto;TESLA;ROADSTER;20150411;20160523;cabriolet;2;ZWART;Niet geregistreerd;0;1235;1460;1335;20110411;20110411;Geen verstrekking in Open Data;132000;Nee;2;4;0;0;395;0;M1;r. balk v. vooras;1460;001;e4*KS07/46*0001*03;A;02 ROADSTER SPORT;1;0.03;235;Nee;Nee;Nee;0;0;2016;Niet geregistreerd;NG;Ja;2015-04-11T00:00:00.000;2016-05-23T00:00:00.000;2011-04-11T00:00:00.000;2011-04-11T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
06ZGD8;Personenauto;TESLA;ROADSTER;20230610;20191206;cabriolet;2;WIT;Niet geregistreerd;;1235;1460;1335;20121031;20121031;Geen verstrekking in Open Data;112800;Ja;2;4;0;0;395;0;M1;r. balk v. vooras;1460;001;e4*KS07/46*0001*04;A;02 ROADSTER SPORT;0;0.03;235;Nee;Nee;Nee;0;0;2022;Onlogisch;04;Ja;2023-06-10T00:00:00.000;2019-12-06T00:00:00.000;2012-10-31T00:00:00.000;2012-10-31T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
07NRV9;Personenauto;TESLA;TESLA ROADSTER;20240509;20221222;cabriolet;2;GRIJS;Niet geregistreerd;0;1235;1460;1335;20101105;20101105;Geen verstrekking in Open Data;93339;Ja;2;4;;;;;M1;r. balk by vooras;1460;;;;;;0.03;235;Nee;Nee;Nee;;;2023;Logisch;00;Ja;2024-05-09T00:00:00.000;2022-12-22T00:00:00.000;2010-11-05T00:00:00.000;2010-11-05T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
08SPH6;Personenauto;TESLA;ROADSTER;20231116;20111108;cabriolet;2;ORANJE;Niet geregistreerd;0;1235;1460;1335;20111108;20111108;Geen verstrekking in Open Data;129780;Ja;2;4;0;0;395;0;M1;r. balk v. vooras;1460;001;e4*KS07/46*0001*03;A;02 ROADSTER SPORT;1;0.03;235;Nee;Nee;Nee;0;0;2022;Logisch;00;Ja;2023-11-16T00:00:00.000;2011-11-08T00:00:00.000;2011-11-08T00:00:00.000;2011-11-08T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;
