kenteken;voertuigsoort;merk;handelsbenaming;datum_tenaamstelling;inrichting;eerste_kleur;tweede_kleur;aantal_cilinders;massa_ledig_voertuig;massa_rijklaar;datum_eerste_toelating;datum_eerste_tenaamstelling_in_nederland;wacht_op_keuren;wam_verzekerd;aantal_deuren;aantal_wielen;europese_voertuigcategorie;plaats_chassisnummer;vermogen_massarijklaar;wielbasis;export_indicator;openstaande_terugroepactie_indicator;taxi_indicator;jaar_laatste_registratie_tellerstand;tellerstandoordeel;code_toelichting_tellerstandoordeel;tenaamstellen_mogelijk;datum_tenaamstelling_dt;datum_eerste_toelating_dt;datum_eerste_tenaamstelling_in_nederland_dt;maximum_last_onder_de_vooras_sen_tezamen_koppeling;api_gekentekende_voertuigen_assen;api_gekentekende_voertuigen_brandstof;api_gekentekende_voertuigen_carrosserie;api_gekentekende_voertuigen_carrosserie_specifiek;api_gekentekende_voertuigen_voertuigklasse;afstand_hart_koppeling_tot_achterzijde_voertuig;afstand_voorzijde_voertuig_tot_hart_koppeling;lengte;breedte;technische_max_massa_voertuig;volgnummer_wijziging_eu_typegoedkeuring;maximum_massa_samenstelling;subcategorie_nederland;aantal_zitplaatsen;cilinderinhoud;toegestane_maximum_massa_voertuig;laadvermogen;aanhangwagen_autonoom_geremd;aanhangwagen_middenas_geremd;type;vervaldatum_apk;maximum_massa_trekken_ongeremd;vervaldatum_tachograaf;vervaldatum_apk_dt;vervaldatum_tachograaf_dt;oplegger_geremd;typegoedkeuringsnummer;variant;uitvoering;aantal_rolstoelplaatsen;maximum_ondersteunende_snelheid;aantal_staanplaatsen;maximale_constructiesnelheid;hoogte_voertuig;registratie_datum_goedkeuring_afschrijvingsmoment_bpm;registratie_datum_goedkeuring_afschrijvingsmoment_bpm_dt;maximum_trekken_massa_geremd;hoogte_voertuig_minimum;hoogte_voertuig_maximum;gem_lading_wrde;verticale_belasting_koppelpunt_getrokken_voertuig;aerodyn_voorz;verl_cab_ind;massa_alt_aandr;type_gasinstallatie;bruto_bpm;zuinigheidsclassificatie;catalogusprijs
0015ZX;Personenauto;VOLVO;P 13194;20160822;Niet geregistreerd;ZWART;Niet geregistreerd;4;1068;1168;19680515;19680515;Geen verstrekking in Open Data;Ja;2;4;M1;midden op schutbord onder motorkap;0.00;260;Nee;Nee;Nee;2019;Logisch;00;Ja;2016-08-22T00:00:00.000;1968-05-15T00:00:00.000;1968-05-15T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0017VN;Personenauto;VOLVO;142 DE LUXE;20030512;Niet geregistreerd;GROEN;Niet geregistreerd;4;1238;1338;19721107;19721107;Geen verstrekking in Open Data;Nee;2;4;M1;tegen r. voorste deurstyl;0.00;262;Nee;Nee;Nee;2003;Logisch;00;Ja;2003-05-12T00:00:00.000;1972-11-07T00:00:00.000;1972-11-07T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0021ZT;Personenauto;VOLVO;P 13194;20191128;Niet geregistreerd;BLAUW;Niet geregistreerd;4;1078;1178;19660610;19660610;Geen verstrekking in Open Data;Ja;2;4;M1;r. op schutbord onder motorkap;0.00;260;Nee;Nee;Nee;2014;Logisch;00;Ja;2019-11-28T00:00:00.000;1966-06-10T00:00:00.000;1966-06-10T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
003GV2;Motorrijtuig met beperkte snelheid;VOLVO;EWR150E;20211202;Niet geregistreerd;N.v.t.;N.v.t.;;;;20190630;20211202;Geen verstrekking in Open Data;Ja;;;Z;;0.00;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-12-02T00:00:00.000;2019-06-30T00:00:00.000;2021-12-02T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;Graafmachine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0040VN;Personenauto;VOLVO;145 E DE LUXE;19721117;Niet geregistreerd;ROOD;Niet geregistreerd;4;1270;1370;19721117;19721117;Geen verstrekking in Open Data;Ja;4;4;M1;;0.00;262;Nee;Nee;Nee;2022;Logisch;00;Ja;1972-11-17T00:00:00.000;1972-11-17T00:00:00.000;1972-11-17T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
007GV2;Motorrijtuig met beperkte snelheid;VOLVO;EW160D;20211227;Niet geregistreerd;N.v.t.;N.v.t.;;;;20130630;20211227;Geen verstrekking in Open Data;Ja;;;Z;;0.00;;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-12-27T00:00:00.000;2013-06-30T00:00:00.000;2021-12-27T00:00:00.000;;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;Mobiele kraan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0090ZZ;Bedrijfsauto;VOLVO;FH;20170420;mobiele kraan;N.v.t.;N.v.t.;6;63750;63850;20170406;20170420;Geen verstrekking in Open Data;Ja;;16;N3;r. balk by vooras;0.01;925;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2017-04-20T00:00:00.000;2017-04-06T00:00:00.000;2017-04-20T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;1241;1261;255;66000;;82000;;2;12777;64000;250;18000;18000;VTY3R;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0094VE;Personenauto;VOLVO;164;20230509;Niet geregistreerd;BEIGE;Niet geregistreerd;6;1368;1468;19690630;19730501;Geen verstrekking in Open Data;Ja;4;4;M1;r. in deurstyl;0.00;270;Nee;Nee;Nee;2020;Geen oordeel;07;Ja;2023-05-09T00:00:00.000;1969-06-30T00:00:00.000;1973-05-01T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00BBF3;Bedrijfsauto;VOLVO;FMX 460 8X4;20210518;afneembare bovenbouw;N.v.t.;N.v.t.;6;13610;13710;20120912;20120917;Geen verstrekking in Open Data;Ja;;8;N3;r. balk by vooras;0.03;582;Nee;Nee;Nee;;Niet geregistreerd;NG;Ja;2021-05-18T00:00:00.000;2012-09-12T00:00:00.000;2012-09-17T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;820;836;255;41000;;50000;;2;12780;41000;27390;36390;15008;;20230623;750;20230618;2023-06-23T00:00:00.000;2023-06-18T00:00:00.000;;;;;;;;;;;;;;;;;;;;;;;
00BBG2;Bedrijfsauto;VOLVO;FM 370 EEV 4X2;;opleggertrekker;N.v.t.;N.v.t.;6;7265;7365;20121008;20121008;Geen verstrekking in Open Data;Nee;;4;N3;r. balk by vooras;0.04;380;Ja;Nee;Nee;;Niet geregistreerd;NG;Nee;;2012-10-08T00:00:00.000;2012-10-08T00:00:00.000;0;https://opendata.rdw.nl/resource/3huj-srit.json;https://opendata.rdw.nl/resource/8ys7-d773.json;https://opendata.rdw.nl/resource/vezc-m2t6.json;https://opendata.rdw.nl/resource/jhie-znh9.json;https://opendata.rdw.nl/resource/kmfi-hrps.json;;455;666;252;19000;;50000;;2;10837;19000;;;;FM/FH42T;20220724;;20220724;2022-07-24T00:00:00.000;2022-07-24T00:00:00.000;42735;;;;;;;;;;;;;;;;;;;;;;
